,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Joe Harris,30:46,0.5,0.5,0.556,0,0,6,3.2,9.7,0,0,18.2,16.2,85,131,-7.7
James Harden,30:38,0.563,0.5,0.5,0.25,10.2,15.1,12.8,45.4,1.5,5.2,18.4,32.1,112,121,6.9
Kevin Durant,30:15,0.579,0.58,0.28,0.24,0,33.6,17.8,38.8,0,5.3,3.5,42.8,113,118,11.1
Nic Claxton,24:10,0.581,0.667,0,0.333,0,26.7,14.2,0,0,0,0,19.3,107,124,-5.6
Blake Griffin,22:59,0.51,0.4,0.2,0.4,4.5,16.1,10.7,0,2.1,0,14.5,13.5,95,123,-7.4
Patty Mills,29:22,0.955,0.955,0.636,0,0,6.3,3.3,12.8,1.6,2.7,0,16.9,178,125,14.9
James Johnson,20:43,0.174,0,0.5,1,0,0,0,12.5,0,3.9,0,6.3,74,130,-9.5
Jevon Carter,18:57,0,0,0.667,0,0,9.7,5.2,0,0,0,25,9.5,0,130,-18
LaMarcus Aldridge,15:42,0.133,0,0,2,0,17.6,9.4,8.3,0,5.1,21,13.7,35,123,-15
Paul Millsap,5:13,,,,,20,35.4,28.2,0,0,15.3,100,8.7,62,111,-6.1
DeAndre' Bembry,3:45,,,,,0,0,0,0,0,0,,0,0,133,-9.7
Bruce Brown,3:45,,,,,0,24.6,13.1,0,0,21.3,,0,0,110,4.1
Cam Thomas,3:45,0.347,0,0.5,1,0,0,0,0,0,0,25.8,46.8,54,133,-29.5
Kessler Edwards,Did Not Play,,,,,,,,,,,,,,,
David Duke Jr.,Did Not Play,,,,,,,,,,,,,,,
