,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Joe Harris,30:46,3,9,0.333,3,5,0.6,0,0,,0,2,2,2,0,0,2,1,9,0
James Harden,30:38,6,16,0.375,4,8,0.5,4,4,1,3,5,8,8,1,2,4,3,20,-20
Kevin Durant,30:15,13,25,0.52,3,7,0.429,3,6,0.5,0,11,11,4,0,2,1,2,32,-20
Nic Claxton,24:10,6,9,0.667,0,0,,0,3,0,0,7,7,0,0,0,0,3,12,-15
Blake Griffin,22:59,2,5,0.4,0,1,0,2,2,1,1,4,5,0,1,0,1,1,6,-6
Patty Mills,29:22,7,11,0.636,7,7,1,0,0,,0,2,2,2,1,1,0,1,21,7
James Johnson,20:43,0,2,0,0,1,0,1,2,0.5,0,0,0,2,0,1,0,3,1,-6
Jevon Carter,18:57,0,3,0,0,2,0,0,0,,0,2,2,0,0,0,1,1,0,-29
LaMarcus Aldridge,15:42,0,2,0,0,0,,1,4,0.25,0,3,3,1,0,1,1,2,1,2
Paul Millsap,5:13,0,0,,0,0,,0,0,,1,2,3,0,0,1,1,0,0,-1
Cam Thomas,3:45,0,2,0,0,1,0,2,2,1,0,0,0,0,0,0,1,0,2,-9
DeAndre' Bembry,3:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-9
Bruce Brown,3:45,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-9
Kessler Edwards,Did Not Play,,,,,,,,,,,,,,,,,,,
David Duke Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
