,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Stephen Curry,36:11,0.421,0.286,0.381,0.429,2.7,26,14,38.6,3.5,0,13.8,31.2,94,97,1.8
Draymond Green,29:56,0.444,0.4,0,0.8,9.8,17.4,13.5,25.5,1.4,0,42.5,15.3,84,102,-4.8
Andrew Wiggins,25:44,0.6,0.6,0.5,0,3.8,24.3,13.7,5.9,1.7,0,16.7,18.2,97,100,-1
Jordan Poole,25:04,0.542,0.556,0.611,0.056,0,8.3,4,22.4,1.7,0,9.8,31.8,95,102,1.9
Kevon Looney,15:28,0.595,0.6,0,0.4,12.7,13.5,13.1,9.8,2.8,5.9,14.5,17.3,114,96,4.2
Damion Lee,29:03,0.593,0.45,0.5,0.6,0,3.6,1.7,9.6,0,0,0,17,129,106,-0.7
Nemanja Bjelica,25:55,0.952,0.929,0.143,0.286,7.6,36.2,21.4,24.8,1.6,0,11.3,13.3,174,100,13
Andre Iguodala,22:58,0.761,0.714,0.714,0.286,0,4.5,2.2,12.8,0,3.9,0,13.4,154,104,6.6
Juan Toscano-Anderson,12:23,0.773,0.833,0.667,0.667,0,25.3,12.2,11.7,0,0,20.5,15.4,114,104,1.4
Otto Porter Jr.,11:35,0.644,0.5,0.667,0.667,0,9,4.4,0,3.7,0,20.5,16.4,101,97,-1.9
Moses Moody,5:34,0.333,0.333,0,0,0,37.5,18.2,0,0,0,0,21,66,104,-9.4
Gary Payton II,0:07,0,0,0,0,0,0,0,0,0,0,0,100,0,108,-302.4
