,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,36:11,5,21,0.238,2,8,0.25,9,9,1,1,9,10,10,3,0,4,1,21,4
Draymond Green,29:56,2,5,0.4,0,0,,2,4,0.5,3,5,8,6,1,0,5,3,6,-2
Andrew Wiggins,25:44,5,10,0.5,2,5,0.4,0,0,,1,6,7,1,1,0,2,3,12,-5
Jordan Poole,25:04,8,18,0.444,4,11,0.364,0,1,0,0,2,2,3,1,0,2,2,20,2
Kevon Looney,15:28,3,5,0.6,0,0,,1,2,0.5,2,2,4,1,1,1,1,0,7,-8
Damion Lee,29:03,4,10,0.4,1,5,0.2,6,6,1,0,1,1,2,0,0,0,3,15,9
Nemanja Bjelica,25:55,6,7,0.857,1,1,1,2,2,1,2,9,11,4,1,0,1,2,15,20
Andre Iguodala,22:58,4,7,0.571,2,5,0.4,2,2,1,0,1,1,2,0,1,0,1,12,8
Juan Toscano-Anderson,12:23,2,3,0.667,1,2,0.5,1,2,0.5,0,3,3,1,0,0,1,1,6,7
Otto Porter Jr.,11:35,1,3,0.333,1,2,0.5,2,2,1,0,1,1,0,1,0,1,2,5,1
Moses Moody,5:34,1,3,0.333,0,0,,0,0,,0,2,2,0,0,0,0,0,2,-1
Gary Payton II,0:07,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
