,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Davis,38:55,0.567,0.596,0.192,0.269,5.4,22.7,14.3,9.3,1.1,4.6,0,29.8,116,105,8.2
LeBron James,36:44,0.663,0.674,0.478,0.261,2.8,26.7,15.1,23.3,1.2,2.4,13.5,32.2,117,105,10.3
Russell Westbrook,35:08,0.308,0.308,0.308,0,3,11.2,7.2,13.8,0,0,23.5,19.3,63,113,-12.6
Kent Bazemore,30:37,0.444,0.444,0.889,0,0,6.4,3.3,0,0,2.9,10,13,77,112,-5.8
DeAndre Jordan,12:55,1,1,0,0,0,15.2,7.8,9,3.3,0,0,3.1,209,104,2
Carmelo Anthony,26:04,0.455,0.444,0.444,0.222,0,15,7.8,9.3,0,0,9.2,16.6,89,112,-3.5
Rajon Rondo,19:49,0.375,0.375,0.75,0,0,0,0,28.4,4.3,0,42.9,14.1,74,105,-2.3
Malik Monk,18:44,0.6,0.6,0.8,0,0,15.7,8.1,6.4,4.5,0,16.7,12.8,100,101,3
Dwight Howard,12:49,0.665,0.5,0,2,0,45.9,23.7,0,0,0,34.7,17.9,87,105,-6.6
Avery Bradley,8:14,1,1,1,0,12.7,0,6.1,17.5,0,0,25,19.4,147,115,10.4
Austin Reaves,Did Not Play,,,,,,,,,,,,,,,
Sekou Doumbouya,Did Not Play,,,,,,,,,,,,,,,
