,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,38:55,15,26,0.577,1,5,0.2,2,7,0.286,2,9,11,2,1,2,0,0,33,-2
LeBron James,36:44,13,23,0.565,5,11,0.455,3,6,0.5,1,10,11,5,1,1,4,5,34,-2
Russell Westbrook,35:08,4,13,0.308,0,4,0,0,0,,1,4,5,4,0,0,4,4,8,-23
Kent Bazemore,30:37,3,9,0.333,2,8,0.25,0,0,,0,2,2,0,0,1,1,4,8,10
DeAndre Jordan,12:55,1,1,1,0,0,,0,0,,0,2,2,1,1,0,0,3,2,2
Carmelo Anthony,26:04,3,9,0.333,2,4,0.5,1,2,0.5,0,4,4,2,0,0,1,2,9,-5
Rajon Rondo,19:49,1,4,0.25,1,3,0.333,0,0,,0,0,0,5,2,0,3,2,3,1
Malik Monk,18:44,2,5,0.4,2,4,0.5,0,0,,0,3,3,1,2,0,1,1,6,-10
Dwight Howard,12:49,1,2,0.5,0,0,,3,4,0.75,0,6,6,0,0,0,2,2,5,-7
Avery Bradley,8:14,2,3,0.667,2,3,0.667,0,0,,1,0,1,1,0,0,1,2,6,1
Austin Reaves,Did Not Play,,,,,,,,,,,,,,,,,,,
Sekou Doumbouya,Did Not Play,,,,,,,,,,,,,,,,,,,
