,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Giannis Antetokounmpo,30:57,0.552,0.5,0.16,0.36,14.9,30.3,22.2,36.9,1.5,6,12.1,42.6,117,98,11.4
Khris Middleton,30:57,0.533,0.5,0.235,0.235,0,30.3,14.2,13.1,1.5,0,5.1,25.6,112,104,-1.1
Brook Lopez,28:10,0.444,0.444,0.444,0,6.6,11.1,8.7,0,1.7,9.8,0,12.8,106,97,-2.2
Grayson Allen,27:43,0.479,0.45,1,0.1,0,15.1,7.1,24.3,3.4,0,0,15.1,126,103,6.4
Jrue Holiday,17:43,0.857,0.857,0.571,0,5.2,0,2.8,7.9,2.7,0,0,15.8,174,107,11
Pat Connaughton,29:58,0.769,0.769,0.692,0,0,10.4,4.9,9.1,1.6,3.1,0,17.4,156,105,11
Jordan Nwora,26:28,0.577,0.577,0.462,0,0,23.7,11.1,4.9,1.8,3.5,7.1,21.2,110,101,1.1
George Hill,23:21,0.129,0,0.667,0.667,7.9,13.4,10.5,12.8,0,4,20.5,8.4,79,105,-9.6
Thanasis Antetokounmpo,12:24,0.773,0.667,0,0.667,7.4,25.2,15.8,9.6,0,7.4,0,12.5,175,102,7.8
Sandro Mamukelashvili,7:02,0,0,0,0,0,14.8,7,14.2,0,0,0,5.7,60,111,-6.9
Justin Robinson,4:01,0.75,0.75,1,0,0,0,0,0,0,0,0,19.9,145,113,6.6
Georgios Kalaitzakis,1:16,0,0,0,0,100,0,77.3,0,0,0,0,63.2,72,113,-45.3
