,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,30:57,12,25,0.48,1,4,0.25,7,9,0.778,5,9,14,7,1,2,4,4,32,25
Khris Middleton,30:57,8,17,0.471,1,4,0.25,3,4,0.75,0,9,9,3,1,0,1,3,20,20
Brook Lopez,28:10,3,9,0.333,2,4,0.5,0,0,,2,3,5,0,1,3,0,3,8,0
Grayson Allen,27:43,3,10,0.3,3,10,0.3,1,1,1,0,4,4,6,2,0,0,0,10,23
Jrue Holiday,17:43,5,7,0.714,2,4,0.5,0,0,,1,0,1,1,1,0,0,0,12,17
Pat Connaughton,29:58,8,13,0.615,4,9,0.444,0,0,,0,3,3,2,1,1,0,0,20,0
Jordan Nwora,26:28,6,13,0.462,3,6,0.5,0,0,,0,6,6,1,1,1,1,3,15,6
George Hill,23:21,0,3,0,0,2,0,1,2,0.5,2,3,5,3,0,1,1,5,1,-6
Thanasis Antetokounmpo,12:24,2,3,0.667,0,0,,2,2,1,1,3,4,1,0,1,0,1,6,8
Sandro Mamukelashvili,7:02,0,1,0,0,0,,0,0,,0,1,1,1,0,0,0,0,0,9
Justin Robinson,4:01,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,3,11
Georgios Kalaitzakis,1:16,0,2,0,0,0,,0,0,,2,0,2,0,0,0,0,0,0,2
