,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaylen Brown,45:58,0.686,0.667,0.467,0.267,0,23.7,10.2,27.2,3,2.1,10.7,32.6,123,108,13.8
Marcus Smart,45:55,0.536,0.536,0.786,0,0,21.1,9.1,18.2,2,0,22.2,15.7,93,112,-4.1
Robert Williams,44:49,0.939,1,0,1.6,6.2,18.9,11.7,9.3,3.1,10.8,0,7.6,203,102,9.3
Jayson Tatum,44:37,0.311,0.267,0.5,0.167,8.3,19,12.9,13.4,1,2.2,8.5,31.5,74,113,-10.3
Grant Williams,31:29,0.833,0.833,0.556,0,0,19.2,8.3,19.9,1.5,3.1,18.2,14,132,111,5.3
Dennis SchrÃ¶der,32:00,0.355,0.344,0.25,0.125,5.8,3.8,4.9,37.2,2.9,0,10.6,23.6,92,113,-3.9
Romeo Langford,22:36,0.833,0.833,0.5,0,8.1,5.3,6.9,0,2,0,33.3,15.9,97,114,-1.6
Aaron Nesmith,11:19,0,0,0.75,0,8.1,10.7,9.2,10.7,0,0,0,14.1,35,118,-18.6
Payton Pritchard,11:17,0,0,0.667,0,24.5,21.4,23.2,21.4,0,8.6,0,10.6,87,110,-3.5
Enes Freedom,Did Not Play,,,,,,,,,,,,,,,
Jabari Parker,Did Not Play,,,,,,,,,,,,,,,
Bruno Fernando,Did Not Play,,,,,,,,,,,,,,,
Brodric Thomas,Did Not Play,,,,,,,,,,,,,,,
Juancho HernangÃ³mez,Did Not Play,,,,,,,,,,,,,,,
Sam Hauser,Did Not Play,,,,,,,,,,,,,,,
