,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaylen Brown,45:58,16,30,0.533,8,14,0.571,6,8,0.75,0,9,9,6,3,1,4,5,46,16
Marcus Smart,45:55,5,14,0.357,5,11,0.455,0,0,,0,8,8,6,2,0,4,3,15,1
Robert Williams,44:49,5,5,1,0,0,,6,8,0.75,3,7,10,3,3,5,0,1,16,11
Jayson Tatum,44:37,7,30,0.233,2,15,0.133,4,5,0.8,4,7,11,4,1,1,3,2,20,-3
Grant Williams,31:29,6,9,0.667,3,5,0.6,0,0,,0,5,5,4,1,1,2,5,15,-5
Dennis SchrÃ¶der,32:00,5,16,0.313,1,4,0.25,1,2,0.5,2,1,3,8,2,0,2,3,12,-16
Romeo Langford,22:36,4,6,0.667,2,3,0.667,0,0,,2,1,3,0,1,0,3,2,10,-14
Aaron Nesmith,11:19,0,4,0,0,3,0,0,0,,1,1,2,1,0,0,0,2,0,-14
Payton Pritchard,11:17,0,3,0,0,2,0,0,0,,3,2,5,2,0,1,0,1,0,4
Enes Freedom,Did Not Play,,,,,,,,,,,,,,,,,,,
Jabari Parker,Did Not Play,,,,,,,,,,,,,,,,,,,
Bruno Fernando,Did Not Play,,,,,,,,,,,,,,,,,,,
Brodric Thomas,Did Not Play,,,,,,,,,,,,,,,,,,,
Juancho HernangÃ³mez,Did Not Play,,,,,,,,,,,,,,,,,,,
Sam Hauser,Did Not Play,,,,,,,,,,,,,,,,,,,
