,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
DeMar DeRozan,37:46,0.475,0.5,0.059,0.118,0,17.8,9.4,9.5,3.9,0,10.1,23.1,88,85,0.6
Nikola VuÄeviÄ‡,35:53,0.357,0.357,0.19,0,14.9,26.8,21.1,19.4,0,0,12.5,29.3,81,91,-3.7
Zach LaVine,35:20,0.778,0.676,0.294,0.647,0,19,10,24.6,1.4,2.2,8.4,29.5,149,89,18.3
Lonzo Ball,33:22,0.5,0.5,0.5,0,9.6,8.6,9.1,19.3,0,2.3,25,21,90,95,-0.4
Patrick Williams,28:26,0.773,0.667,0,0.667,0,3.4,1.8,0,0,0,20.5,7.5,122,98,-4.5
Alex Caruso,27:08,0.3,0.3,0.6,0,0,10.6,5.6,15.1,7.2,5.7,28.6,11.3,61,76,3.1
Javonte Green,14:49,0,0,1,0,0,19.4,10.2,8.8,0,0,0,3,49,93,-3.7
Alize Johnson,11:54,0,0,0,0,9,24.2,17,0,0,0,50,14.7,16,91,-20.7
Ayo Dosunmu,11:12,0.438,0.438,0.375,0,0,17.1,9,0,0,6.9,11.1,35.2,76,89,-3.1
Troy Brown Jr.,4:10,,,,,0,0,0,0,0,0,,0,0,98,-18
Marko Simonovic,Did Not Play,,,,,,,,,,,,,,,
Tony Bradley,Did Not Play,,,,,,,,,,,,,,,
Matt Thomas,Did Not Play,,,,,,,,,,,,,,,
Derrick Jones Jr.,Did Not Play,,,,,,,,,,,,,,,
