,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
DeMar DeRozan,37:46,8,17,0.471,1,1,1,0,2,0,0,7,7,2,3,0,2,2,17,5
Nikola VuÄeviÄ‡,35:53,7,21,0.333,1,4,0.25,0,0,,5,10,15,4,0,0,3,1,15,13
Zach LaVine,35:20,11,17,0.647,1,5,0.2,11,11,1,0,7,7,4,1,1,2,2,34,8
Lonzo Ball,33:22,5,12,0.417,2,6,0.333,0,0,,3,3,6,4,0,1,4,0,12,17
Patrick Williams,28:26,2,3,0.667,0,0,,2,2,1,0,1,1,0,0,0,1,2,6,12
Alex Caruso,27:08,1,5,0.2,1,3,0.333,0,0,,0,3,3,3,4,2,2,5,3,-11
Javonte Green,14:49,0,1,0,0,1,0,0,0,,0,3,3,1,0,0,0,0,0,-8
Alize Johnson,11:54,0,2,0,0,0,,0,0,,1,3,4,0,0,0,2,3,0,-7
Ayo Dosunmu,11:12,3,8,0.375,1,3,0.333,0,0,,0,2,2,0,0,1,1,1,7,7
Troy Brown Jr.,4:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-6
Marko Simonovic,Did Not Play,,,,,,,,,,,,,,,,,,,
Tony Bradley,Did Not Play,,,,,,,,,,,,,,,,,,,
Matt Thomas,Did Not Play,,,,,,,,,,,,,,,,,,,
Derrick Jones Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
