,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Evan Mobley,38:18,0.594,0.577,0.154,0.231,0,26.9,12.7,19.7,1.2,1.9,0,16.2,129,127,3.8
Darius Garland,31:55,0.433,0.433,0.667,0,0,3.6,1.7,45.7,0,0,11.8,23,103,138,-5.6
Lauri Markkanen,31:28,0.357,0.357,0.5,0,6.5,25.4,15.4,7.5,1.5,0,6.7,20.6,80,129,-8.5
Collin Sexton,29:23,0.594,0.615,0.462,0.231,3.5,0,1.8,4.6,0,0,6.5,22.6,105,139,-7.4
Jarrett Allen,28:54,0.98,1,0,0.364,3.5,11.9,7.5,5.8,4.9,7.4,7.3,20.6,177,119,16.2
Ricky Rubio,24:57,0.575,0.55,0.7,0.1,0,18.3,8.6,48.9,1.9,0,16.1,21.6,119,130,2.9
Isaac Okoro,20:33,0.68,0.6,0.2,0.4,5,11.1,7.9,5.8,0,3.5,0,12.4,146,133,-3.1
Kevin Love,17:27,0.291,0.167,0.333,0.333,5.9,13.1,9.3,24.9,0,0,12.7,19.5,86,135,-8.7
Cedi Osman,17:05,1.025,1.083,0.5,0.5,6,6.7,6.3,8.5,0,0,21.5,23.6,134,137,9.4
Tacko Fall,Did Not Play,,,,,,,,,,,,,,,
RJ Nembhard Jr.,Did Not Play,,,,,,,,,,,,,,,
Denzel Valentine,Did Not Play,,,,,,,,,,,,,,,
Lamar Stevens,Did Not Play,,,,,,,,,,,,,,,
Kevin Pangos,Did Not Play,,,,,,,,,,,,,,,
Ed Davis,Did Not Play,,,,,,,,,,,,,,,
