,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Evan Mobley,38:18,7,13,0.538,1,2,0.5,2,3,0.667,0,9,9,6,1,1,0,2,17,-18
Darius Garland,31:55,5,15,0.333,3,10,0.3,0,0,,0,1,1,12,0,0,2,2,13,0
Lauri Markkanen,31:28,4,14,0.286,2,7,0.286,0,0,,2,7,9,2,1,0,1,0,10,-4
Collin Sexton,29:23,7,13,0.538,2,6,0.333,1,3,0.333,1,0,1,1,0,0,1,4,17,-14
Jarrett Allen,28:54,11,11,1,0,0,,3,4,0.75,1,3,4,1,3,3,1,1,25,5
Ricky Rubio,24:57,4,10,0.4,3,7,0.429,1,1,1,0,4,4,10,1,0,2,3,12,-12
Isaac Okoro,20:33,3,5,0.6,0,1,0,2,2,1,1,2,3,1,0,1,0,4,8,8
Kevin Love,17:27,1,6,0.167,0,2,0,2,2,1,1,2,3,4,0,0,1,1,4,-3
Cedi Osman,17:05,5,6,0.833,3,3,1,2,3,0.667,1,1,2,1,0,0,2,0,15,-17
Tacko Fall,Did Not Play,,,,,,,,,,,,,,,,,,,
RJ Nembhard Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
Denzel Valentine,Did Not Play,,,,,,,,,,,,,,,,,,,
Lamar Stevens,Did Not Play,,,,,,,,,,,,,,,,,,,
Kevin Pangos,Did Not Play,,,,,,,,,,,,,,,,,,,
Ed Davis,Did Not Play,,,,,,,,,,,,,,,,,,,
