,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Gordon Hayward,35:15,0.529,0.5,0.182,0.364,0,16.2,7,12.6,1.3,0,10.5,30.6,98,116,-3.5
Kelly Oubre Jr.,34:58,0.391,0.353,0.529,0.118,0,9.8,4.2,3.5,0,0,0,19.3,85,120,-11.1
Miles Bridges,32:57,0.666,0.563,0.5,0.5,2.6,24.3,12,14.5,4,3.4,23.5,14.7,113,105,1.4
Mason Plumlee,32:27,0.353,0.4,0,0.3,10.8,21.1,15.2,18.5,0,3.4,0,13.2,105,116,-3.5
LaMelo Ball,28:57,0.649,0.63,0.391,0.087,6,27.6,15.4,41.8,3.1,0,7.7,33.8,127,109,18.5
Cody Martin,23:38,0.85,0.8,0.2,0.4,7.4,19.3,12.6,0,1.9,4.7,0,9.4,179,111,3.9
Ish Smith,21:27,0.47,0.5,0,0.143,0,0,0,36.9,2.1,5.2,0,26.2,107,114,2.6
P.J. Washington,19:27,0.317,0.214,0.429,0.286,13.5,11.8,12.7,17,0,5.7,0,15.3,104,116,-2.7
Jalen McDaniels,10:54,0.266,0,1,2,0,0,0,9.6,4.1,0,0,6.5,83,112,-5.7
James Bouknight,Did Not Play,,,,,,,,,,,,,,,
JT Thor,Did Not Play,,,,,,,,,,,,,,,
Arnoldas Kulboka,Did Not Play,,,,,,,,,,,,,,,
Kai Jones,Did Not Play,,,,,,,,,,,,,,,
Nick Richards,Did Not Play,,,,,,,,,,,,,,,
Vernon Carey Jr.,Did Not Play,,,,,,,,,,,,,,,
