,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gordon Hayward,35:15,10,22,0.455,2,4,0.5,5,8,0.625,0,5,5,3,1,0,3,3,27,12
Kelly Oubre Jr.,34:58,5,17,0.294,2,9,0.222,2,2,1,0,3,3,1,0,0,0,4,14,1
Miles Bridges,32:57,4,8,0.5,1,4,0.25,4,4,1,1,7,8,4,3,1,3,4,13,15
Mason Plumlee,32:27,4,10,0.4,0,0,,0,3,0,4,6,10,5,0,1,0,3,8,4
LaMelo Ball,28:57,11,23,0.478,7,9,0.778,2,2,1,2,7,9,7,2,0,2,3,31,0
Cody Martin,23:38,4,5,0.8,0,1,0,2,2,1,2,4,6,0,1,1,0,1,10,-6
Ish Smith,21:27,7,14,0.5,0,0,,0,2,0,0,0,0,5,1,1,0,1,14,-1
P.J. Washington,19:27,1,7,0.143,1,3,0.333,2,2,1,3,2,5,3,0,1,0,1,5,-10
Jalen McDaniels,10:54,0,1,0,0,1,0,1,2,0.5,0,0,0,1,1,0,0,1,1,-10
James Bouknight,Did Not Play,,,,,,,,,,,,,,,,,,,
JT Thor,Did Not Play,,,,,,,,,,,,,,,,,,,
Arnoldas Kulboka,Did Not Play,,,,,,,,,,,,,,,,,,,
Kai Jones,Did Not Play,,,,,,,,,,,,,,,,,,,
Nick Richards,Did Not Play,,,,,,,,,,,,,,,,,,,
Vernon Carey Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
