,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola JokiÄ‡,34:43,0.614,0.614,0.273,0,6.9,29.8,19.8,10.6,2.8,0,12,33.2,109,92,3.9
Michael Porter Jr.,33:59,0.718,0.7,0.3,0.1,3.5,13.8,9.3,19.9,2.9,0,16.1,16.9,133,97,8.3
Will Barton,33:30,0.714,0.714,0.571,0,0,16.9,9.4,22,1.5,0,0,19.3,149,100,10.8
Aaron Gordon,29:01,0.872,0.917,0.167,0.333,8.3,19.5,14.5,18.5,0,3.3,30.4,15.7,133,100,6.1
Monte Morris,28:26,0.507,0.563,0.75,0.25,0,6.6,3.7,13,0,0,10.1,16,101,107,-3.1
PJ Dozier,20:48,1.025,1.125,1,0.5,5.8,18.1,12.7,6.2,2.3,0,17,13.1,158,97,11.1
Facundo Campazzo,19:34,0,0,0.333,0,0,14.4,8.1,22.3,5,0,40,11.8,52,93,-4.6
Jeff Green,18:59,0.658,0.611,0.667,0.222,0,5,2.8,7.5,0,0,16.8,28.9,107,107,-1.9
JaMychal Green,13:17,0.25,0.25,0.5,0,0,14.2,7.9,0,3.7,0,33.3,20.9,33,95,-17.9
Austin Rivers,7:43,0.333,0.333,0.667,0,0,0,0,0,0,0,25,23.9,48,109,-17.7
Bones Hyland,Did Not Play,,,,,,,,,,,,,,,
Markus Howard,Did Not Play,,,,,,,,,,,,,,,
Bol Bol,Did Not Play,,,,,,,,,,,,,,,
Petr Cornelie,Did Not Play,,,,,,,,,,,,,,,
Zeke Nnaji,Did Not Play,,,,,,,,,,,,,,,
