,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nikola JokiÄ‡,34:43,13,22,0.591,1,6,0.167,0,0,,2,11,13,2,2,0,3,3,27,28
Michael Porter Jr.,33:59,6,10,0.6,2,3,0.667,1,1,1,1,5,6,5,2,0,2,3,15,24
Will Barton,33:30,8,14,0.571,4,8,0.5,0,0,,0,6,6,5,1,0,0,2,20,20
Aaron Gordon,29:01,5,6,0.833,1,1,1,1,2,0.5,2,6,8,4,0,1,3,2,12,22
Monte Morris,28:26,3,8,0.375,3,6,0.5,0,2,0,0,2,2,3,0,0,1,1,9,18
PJ Dozier,20:48,3,4,0.75,3,4,0.75,1,2,0.5,1,4,5,1,1,0,1,2,10,-7
Facundo Campazzo,19:34,0,3,0,0,1,0,0,0,,0,3,3,4,2,0,2,1,0,-6
Jeff Green,18:59,4,9,0.444,3,6,0.5,2,2,1,0,1,1,1,0,0,2,3,13,-10
JaMychal Green,13:17,1,4,0.25,0,2,0,0,0,,0,2,2,0,1,0,2,3,2,-16
Austin Rivers,7:43,1,3,0.333,0,2,0,0,0,,0,0,0,0,0,0,1,0,2,-13
Bones Hyland,Did Not Play,,,,,,,,,,,,,,,,,,,
Markus Howard,Did Not Play,,,,,,,,,,,,,,,,,,,
Bol Bol,Did Not Play,,,,,,,,,,,,,,,,,,,
Petr Cornelie,Did Not Play,,,,,,,,,,,,,,,,,,,
Zeke Nnaji,Did Not Play,,,,,,,,,,,,,,,,,,,
