,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Saddiq Bey,32:32,0.409,0.4,0.267,0.133,5.9,23,14,21.7,0,0,5.9,22.3,93,98,-2.1
Jerami Grant,32:21,0.541,0.475,0.25,0.25,8.9,9.9,9.4,12.3,1.5,2.4,4.3,30.8,115,96,9.8
Frank Jackson,28:34,0.438,0.438,0.625,0,0,7.5,3.5,0,0,0,20,15,69,102,-10.9
Isaiah Stewart,25:50,0.667,0.667,0.111,0,7.4,24.8,15.6,0,0,2.9,18.2,18.3,108,96,1.1
Killian Hayes,20:18,0,0,0,0,4.7,21,12.4,13.1,0,0,25,16.9,20,99,-17.2
Cory Joseph,27:42,0.25,0.25,0.667,0,6.9,3.9,5.5,10.1,3.5,2.8,14.3,10.9,70,93,-0.9
Kelly Olynyk,22:10,0.479,0.5,0.4,0.1,0,19.2,9.1,25.8,2.2,0,16.1,24.1,88,95,2
Josh Jackson,18:37,0.47,0.5,0.429,0.143,5.2,17.2,10.9,18.2,0,4.1,28.7,24.1,75,96,-3.4
Trey Lyles,16:44,0.5,0.5,0.25,0,0,38.2,18.1,9.5,5.8,0,33.3,15.4,69,82,0.9
Hamidou Diallo,15:12,0.592,0.4,0.2,0.8,0,0,0,10.6,3.2,5,0,19.1,133,93,9.1
Rodney McGruder,Did Not Play,,,,,,,,,,,,,,,
Luka Garza,Did Not Play,,,,,,,,,,,,,,,
Jamorko Pickett,Did Not Play,,,,,,,,,,,,,,,
Saben Lee,Did Not Play,,,,,,,,,,,,,,,
