,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Saddiq Bey,32:32,6,15,0.4,0,4,0,1,2,0.5,2,7,9,4,0,0,1,4,13,-6
Jerami Grant,32:21,8,20,0.4,3,5,0.6,5,5,1,3,3,6,2,1,1,1,3,24,-10
Frank Jackson,28:34,3,8,0.375,1,5,0.2,0,0,,0,2,2,0,0,0,2,4,7,-13
Isaiah Stewart,25:50,6,9,0.667,0,1,0,0,0,,2,6,8,0,0,1,2,1,12,-7
Killian Hayes,20:18,0,6,0,0,0,,0,0,,1,4,5,2,0,0,2,1,0,-11
Cory Joseph,27:42,1,6,0.167,1,4,0.25,0,0,,2,1,3,2,2,1,1,0,3,5
Kelly Olynyk,22:10,5,10,0.5,0,4,0,0,1,0,0,4,4,3,1,0,2,0,10,1
Josh Jackson,18:37,3,7,0.429,1,3,0.333,0,1,0,1,3,4,2,0,1,3,2,7,3
Trey Lyles,16:44,2,4,0.5,0,1,0,0,0,,0,6,6,1,2,0,2,0,4,0
Hamidou Diallo,15:12,2,5,0.4,0,1,0,4,4,1,0,0,0,1,1,1,0,1,8,8
Rodney McGruder,Did Not Play,,,,,,,,,,,,,,,,,,,
Luka Garza,Did Not Play,,,,,,,,,,,,,,,,,,,
Jamorko Pickett,Did Not Play,,,,,,,,,,,,,,,,,,,
Saben Lee,Did Not Play,,,,,,,,,,,,,,,,,,,
