,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Green,32:11,0.321,0.321,0.429,0,0,14.2,6.9,17.5,1.4,0,0,17.2,87,122,-5.9
Christian Wood,32:02,0.477,0.467,0.4,0.267,6.7,25,15.5,14.5,0,3.1,5.6,21.9,107,121,-1.4
Kevin Porter Jr.,24:45,0.427,0.417,0.583,0.167,4.3,9.2,6.7,18,1.9,0,41.1,34.9,58,122,-19.1
Jae'Sean Tate,21:10,0.25,0.25,0,0,5,10.8,7.8,12,0,0,33.3,11.2,60,126,-14.2
Daniel Theis,20:34,0.799,0.75,0.333,0.333,10.4,16.7,13.4,0,0,0,12.7,15.1,144,125,0.5
Eric Gordon,22:47,0.938,0.938,0.5,0,0,10,4.8,0,2,0,27.3,19,116,122,3.9
Alperen ÅžengÃ¼n,18:34,0.887,0.75,0,1.25,17.2,18.5,17.8,16,7.4,0,32.6,19.5,132,106,7.8
David Nwaba,17:02,0.4,0.429,0.286,0.571,0,26.8,13,17.9,5.4,0,10.2,22.6,84,108,-6.3
D.J. Augustin,16:40,0.25,0.25,0.5,0,0,0,0,15.5,2.7,0,42.9,16.6,44,123,-15.3
Kenyon Martin Jr.,9:09,0.717,0.75,0,0.5,11.7,12.5,12.1,21.6,5,0,0,21,154,114,15.4
Armoni Brooks,8:22,0.676,0.625,0.75,0.25,0,0,0,0,0,0,0,20.9,140,130,1
Josh Christopher,8:22,0.644,0.5,0.333,0.667,12.7,0,6.6,16.7,10.9,0,20.5,23,121,104,15.6
Usman Garuba,8:22,0.667,0.667,0,0,12.7,13.7,13.2,20.1,5.5,23.4,0,14.1,152,101,17.4
