,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Green,32:11,4,14,0.286,1,6,0.167,0,0,,0,4,4,4,1,0,0,0,9,-37
Christian Wood,32:02,6,15,0.4,2,6,0.333,2,4,0.5,2,7,9,3,0,1,1,3,16,-24
Kevin Porter Jr.,24:45,4,12,0.333,2,7,0.286,1,2,0.5,1,2,3,3,1,0,9,3,11,-18
Jae'Sean Tate,21:10,1,4,0.25,0,0,,0,0,,1,2,3,2,0,0,2,4,2,-16
Daniel Theis,20:34,4,6,0.667,1,2,0.5,2,2,1,2,3,5,0,0,0,1,2,11,-23
Eric Gordon,22:47,6,8,0.75,3,4,0.75,0,0,,0,2,2,0,1,0,3,0,15,-27
Alperen ÅžengÃ¼n,18:34,3,4,0.75,0,0,,5,5,1,3,3,6,2,3,0,3,4,11,-8
David Nwaba,17:02,3,7,0.429,0,2,0,1,4,0.25,0,4,4,2,2,0,1,6,7,18
D.J. Augustin,16:40,1,4,0.25,0,2,0,0,0,,0,0,0,2,1,0,3,1,2,-19
Kenyon Martin Jr.,9:09,3,4,0.75,0,0,,1,2,0.5,1,1,2,1,1,0,0,0,7,13
Armoni Brooks,8:22,2,4,0.5,1,3,0.333,1,1,1,0,0,0,0,0,0,0,1,6,17
Josh Christopher,8:22,1,3,0.333,1,1,1,2,2,1,1,0,1,1,2,0,1,0,5,17
Usman Garuba,8:22,2,3,0.667,0,0,,0,0,,1,1,2,1,1,2,0,1,4,17
