,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Malcolm Brogdon,40:18,0.584,0.475,0.5,0.45,0,8.7,4.9,40.3,0,1.6,4,25.5,134,117,5.1
Domantas Sabonis,39:19,0.795,0.789,0.316,0.211,8.7,26.6,18.9,9.3,0,0,22.4,28,117,113,2.3
Chris Duarte,32:42,0.827,0.8,0.6,0.2,0,13.3,7.6,5.1,1.4,0,5.8,21.8,145,114,7.6
Myles Turner,25:49,0.58,0.583,0.5,0.667,4.4,20.3,13.4,5.1,0,9.8,34,18.8,79,106,-5.8
Justin Holiday,25:43,0.506,0.45,0.7,0.2,4.4,20.4,13.5,21.6,0,0,0,17.4,124,115,-2
Torrey Craig,27:48,0.512,0.375,1,0.5,12.3,15.7,14.2,12.9,0,2.3,17,8.7,129,114,-1.9
Jeremy Lamb,24:14,0.167,0.167,0.667,0,0,7.2,4.1,0,0,5.2,18.2,18.7,29,114,-17.3
T.J. McConnell,24:07,0.429,0.429,0.286,0,0,10.9,6.2,38.7,1.8,5.2,12.5,13.7,112,109,2.6
Duane Washington Jr.,Did Not Play,,,,,,,,,,,,,,,
Brad Wanamaker,Did Not Play,,,,,,,,,,,,,,,
Oshae Brissett,Did Not Play,,,,,,,,,,,,,,,
Goga Bitadze,Did Not Play,,,,,,,,,,,,,,,
Isaiah Jackson,Did Not Play,,,,,,,,,,,,,,,
