,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malcolm Brogdon,40:18,8,20,0.4,3,10,0.3,9,9,1,0,4,4,11,0,1,1,2,28,0
Domantas Sabonis,39:19,13,19,0.684,4,6,0.667,3,4,0.75,3,12,15,2,0,0,6,4,33,-1
Chris Duarte,32:42,9,15,0.6,6,9,0.667,3,3,1,0,5,5,1,1,0,1,4,27,7
Myles Turner,25:49,3,6,0.5,1,3,0.333,2,4,0.5,1,6,7,1,0,4,4,4,9,-8
Justin Holiday,25:43,4,10,0.4,1,7,0.143,2,2,1,1,6,7,4,0,0,0,3,11,3
Torrey Craig,27:48,1,4,0.25,1,4,0.25,2,2,1,3,5,8,3,0,1,1,4,5,-3
Jeremy Lamb,24:14,1,9,0.111,1,6,0.167,0,0,,0,2,2,0,0,2,2,2,3,5
T.J. McConnell,24:07,3,7,0.429,0,2,0,0,0,,0,3,3,7,1,2,1,1,6,-8
Duane Washington Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
Brad Wanamaker,Did Not Play,,,,,,,,,,,,,,,,,,,
Oshae Brissett,Did Not Play,,,,,,,,,,,,,,,,,,,
Goga Bitadze,Did Not Play,,,,,,,,,,,,,,,,,,,
Isaiah Jackson,Did Not Play,,,,,,,,,,,,,,,,,,,
