,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ja Morant,33:36,17,29,0.586,1,4,0.25,2,2,1,1,5,6,6,0,2,2,2,37,-6
Steven Adams,31:45,4,7,0.571,0,0,,0,0,,6,8,14,3,1,1,2,0,8,1
Jaren Jackson Jr.,30:48,3,12,0.25,3,8,0.375,4,4,1,0,6,6,2,0,4,2,2,13,16
De'Anthony Melton,30:39,8,14,0.571,4,6,0.667,0,0,,2,2,4,3,0,0,0,0,20,17
Desmond Bane,29:39,8,16,0.5,2,6,0.333,4,4,1,1,2,3,3,2,0,3,2,22,-7
Kyle Anderson,21:50,3,7,0.429,2,5,0.4,2,2,1,0,7,7,4,2,0,0,2,10,-10
John Konchar,18:32,2,3,0.667,0,1,0,0,0,,2,4,6,0,1,0,0,4,4,-1
Ziaire Williams,17:10,1,2,0.5,1,1,1,0,0,,0,2,2,1,1,0,1,1,3,13
Tyus Jones,14:24,4,7,0.571,1,2,0.5,0,0,,0,2,2,5,1,0,0,0,9,17
Brandon Clarke,11:37,3,3,1,0,0,,0,0,,1,2,3,1,0,1,0,2,6,15
Jarrett Culver,Did Not Play,,,,,,,,,,,,,,,,,,,
Sam Merrill,Did Not Play,,,,,,,,,,,,,,,,,,,
Santi Aldama,Did Not Play,,,,,,,,,,,,,,,,,,,
Xavier Tillman Sr.,Did Not Play,,,,,,,,,,,,,,,,,,,
Killian Tillie,Did Not Play,,,,,,,,,,,,,,,,,,,
