,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Edwards,31:11,0.637,0.619,0.571,0.19,7.3,13.7,10.6,17.4,1.5,0,14.9,34.7,116,108,0.6
Karl-Anthony Towns,29:23,0.872,0.833,0.267,0.333,19.4,18.2,18.8,13.6,3.1,5.9,14.9,27.8,152,100,13.9
Jaden McDaniels,25:31,0.667,0.667,0.333,0,0,16.7,8.6,4.9,7.2,6.8,25,6.3,104,91,2.6
D'Angelo Russell,24:41,0.564,0.5,0.5,0.5,0,13,6.7,44.9,1.9,3.5,13.3,36.9,119,105,2
Josh Okogie,21:11,0.51,0.4,0.2,0.4,10.8,15.1,13,0,4.3,8.2,0,11.2,130,97,2.1
Malik Beasley,20:31,0.507,0.563,0.5,0.25,0,5.2,2.7,28.7,4.5,8.5,0,17.5,125,99,6.7
Jordan McLaughlin,18:39,0.387,0.333,0.333,0.667,6.1,5.7,5.9,26.1,4.9,0,20.5,10.6,111,103,-2.8
Naz Reid,18:37,0.425,0.4,0.4,0.4,12.3,28.6,20.7,7,2.5,14.1,25.4,17.1,85,93,-6.2
Taurean Prince,16:08,0.644,0.5,1,0.667,0,19.8,10.3,15.2,2.8,0,20.5,12.2,125,103,-1.2
Jarred Vanderbilt,15:07,1.136,,,,0,21.2,10.9,7.6,6.1,0,0,2.4,247,95,1.2
Jaylen Nowell,5:33,0.333,0.333,0,0,20.6,19.2,19.9,25.9,0,0,25,29.2,81,109,-18.5
Leandro Bolmaro,4:40,0.532,0,0,2,0,0,0,0,0,0,34.7,25,77,115,-18.9
Jake Layman,4:40,0.333,0.333,0.333,0,0,0,0,0,0,0,0,26,75,115,-19.9
McKinley Wright IV,4:08,1.5,1.5,1,0,0,0,0,0,0,0,50,19.6,76,115,1.3
Patrick Beverley,Did Not Play,,,,,,,,,,,,,,,
