,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,31:11,10,21,0.476,6,12,0.5,3,4,0.75,2,4,6,3,1,0,4,2,29,26
Karl-Anthony Towns,29:23,11,15,0.733,3,4,0.75,5,5,1,5,5,10,2,2,2,3,3,30,34
Jaden McDaniels,25:31,2,3,0.667,0,1,0,0,0,,0,4,4,1,4,2,1,3,4,26
D'Angelo Russell,24:41,6,16,0.375,4,8,0.5,6,8,0.75,0,3,3,7,1,1,3,3,22,9
Josh Okogie,21:11,2,5,0.4,0,1,0,2,2,1,2,3,5,0,2,2,0,1,6,20
Malik Beasley,20:31,4,8,0.5,1,4,0.25,0,2,0,0,1,1,4,2,2,0,1,9,6
Jordan McLaughlin,18:39,1,3,0.333,0,1,0,1,2,0.5,1,1,2,4,2,0,1,1,3,20
Naz Reid,18:37,2,5,0.4,0,2,0,1,2,0.5,2,5,7,1,1,3,2,3,5,-16
Taurean Prince,16:08,1,3,0.333,1,3,0.333,2,2,1,0,3,3,2,1,0,1,1,5,2
Jarred Vanderbilt,15:07,0,0,,0,0,,2,2,1,0,3,3,1,2,0,0,3,2,4
Jaylen Nowell,5:33,1,3,0.333,0,0,,0,0,,1,1,2,1,0,0,1,1,2,-13
Leandro Bolmaro,4:40,0,1,0,0,0,,2,2,1,0,0,0,0,0,0,1,0,2,-11
Jake Layman,4:40,1,3,0.333,0,1,0,0,0,,0,0,0,0,0,0,0,0,2,-11
McKinley Wright IV,4:08,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,1,0,3,-6
Patrick Beverley,Did Not Play,,,,,,,,,,,,,,,,,,,
