,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
RJ Barrett,47:03,0.696,0.682,0.636,0.545,0,9.8,5.6,5.7,0,4.1,0,12.6,142,112,1.2
Julius Randle,46:00,0.573,0.5,0.296,0.296,0,16,9.1,31.6,0,6.3,18.7,35.3,104,108,2.6
Evan Fournier,44:26,0.64,0.64,0.52,0,0,12.4,7.1,11.5,4.2,2.2,3.8,25.3,121,102,8.8
Kemba Walker,35:32,0.563,0.563,0.5,0.25,0,20.7,11.8,10.6,1.3,0,31.1,15.7,83,107,-6.5
Mitchell Robinson,34:28,0.814,1,0,0.8,17.5,32.1,25.8,11.9,0,5.6,12.9,9.8,161,103,6.4
Obi Toppin,28:23,0.678,0.667,0.333,0.333,8.5,9.7,9.2,0,0,3.4,8.8,17.3,127,112,-0.7
Derrick Rose,22:28,0.379,0.318,0.273,0.182,0,16.4,9.3,29.8,4.1,4.3,14.4,26.8,84,100,0.2
Alec Burks,16:17,0.5,0.5,0.8,0,0,5.7,3.2,8.1,2.8,0,0,13.3,107,109,-2.1
Immanuel Quickley,8:25,0.25,0.25,0.75,0,0,0,0,15.6,5.5,0,20,25.7,52,105,-11.2
Jericho Sims,6:58,0.568,,,,0,13.2,7.5,0,0,0,0,5.5,124,113,-3.7
Quentin Grimes,0:00,,,,,,,,,,,,,,,-6.6
Miles McBride,Did Not Play,,,,,,,,,,,,,,,
Kevin Knox,Did Not Play,,,,,,,,,,,,,,,
Wayne Selden,Did Not Play,,,,,,,,,,,,,,,
