,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
RJ Barrett,47:03,6,11,0.545,3,7,0.429,4,6,0.667,0,5,5,2,0,2,0,5,19,8
Julius Randle,46:00,12,27,0.444,3,8,0.375,8,8,1,0,8,8,9,0,3,7,4,35,10
Evan Fournier,44:26,13,25,0.52,6,13,0.462,0,0,,0,6,6,3,4,1,1,4,32,11
Kemba Walker,35:32,3,8,0.375,3,4,0.75,1,2,0.5,0,8,8,3,1,0,4,4,10,-1
Mitchell Robinson,34:28,5,5,1,0,0,,1,4,0.25,5,12,17,3,0,2,1,2,11,3
Obi Toppin,28:23,6,9,0.667,0,3,0,2,3,0.667,2,3,5,0,0,1,1,1,14,4
Derrick Rose,22:28,3,11,0.273,1,3,0.333,2,2,1,0,4,4,5,2,1,2,0,9,7
Alec Burks,16:17,2,5,0.4,1,4,0.25,0,0,,0,1,1,1,1,0,0,2,5,-5
Immanuel Quickley,8:25,1,4,0.25,0,3,0,0,0,,0,0,0,1,1,0,1,0,2,-8
Jericho Sims,6:58,0,0,,0,0,,1,2,0.5,0,1,1,0,0,0,0,0,1,-7
Quentin Grimes,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
Miles McBride,Did Not Play,,,,,,,,,,,,,,,,,,,
Kevin Knox,Did Not Play,,,,,,,,,,,,,,,,,,,
Wayne Selden,Did Not Play,,,,,,,,,,,,,,,,,,,
