,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandon Ingram,36:37,0.481,0.481,0.115,0,0,22.9,10.1,33.8,0,2.2,13.3,35.8,89,120,-2.4
Nickeil Alexander-Walker,34:00,0.681,0.688,0.5,0.125,0,17.6,7.8,5.4,1.4,2.4,5.6,23,119,118,4.9
Jonas ValanÄiÅ«nas,29:35,0.226,0.184,0.158,0.105,15.9,28.4,21.4,14.3,0,2.7,4.8,30.8,68,119,-14.7
Devonte' Graham,29:09,0.872,0.889,0.667,0.333,0,4.1,1.8,28.3,1.7,2.7,22.5,19.9,128,119,9
Josh Hart,10:10,0.868,1,0,1,0,23.6,10.4,16,0,0,0,12.4,176,122,2.6
Naji Marshall,20:10,0.5,0.5,0.5,0,0,23.8,10.5,13,0,7.9,33.3,6.5,87,114,-5.3
Jaxson Hayes,18:25,0.5,0.5,0,0,20.4,13,17.2,0,2.7,0,20,11.9,107,118,-7.7
Trey Murphy III,18:09,0.429,0.429,0.714,0,0,0,0,15.7,0,0,0,16.8,97,126,-5.1
Kira Lewis Jr.,16:44,0.417,0.417,0.333,0,5.6,21.5,12.6,43.1,2.9,0,14.3,18.3,103,116,1.5
Garrett Temple,15:06,0,0,1,0,0,7.9,3.5,8.2,0,0,0,2.9,53,124,-11.1
TomÃ¡Å¡ SatoranskÃ½,8:40,0,0,1,0,0,27.7,12.2,28.4,5.6,0,50,10.1,48,109,-6.4
Herbert Jones,3:15,,,,,0,0,0,0,0,0,,0,0,126,-11.3
Didi Louzada,Did Not Play,,,,,,,,,,,,,,,
Willy HernangÃ³mez,Did Not Play,,,,,,,,,,,,,,,
Jose Alvarado,Did Not Play,,,,,,,,,,,,,,,
