,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Ingram,36:37,12,26,0.462,1,3,0.333,0,0,,0,7,7,6,0,1,4,1,25,-29
Nickeil Alexander-Walker,34:00,9,16,0.563,4,8,0.5,1,2,0.5,0,5,5,1,1,1,1,2,23,-19
Jonas ValanÄiÅ«nas,29:35,3,19,0.158,1,3,0.333,2,2,1,5,7,12,3,0,1,1,4,9,-21
Devonte' Graham,29:09,6,9,0.667,4,6,0.667,2,3,0.667,0,1,1,5,1,1,3,0,18,-19
Josh Hart,10:10,2,2,1,0,0,,1,2,0.5,0,2,2,1,0,0,0,1,5,-2
Naji Marshall,20:10,1,2,0.5,0,1,0,0,0,,0,4,4,2,0,2,1,3,2,12
Jaxson Hayes,18:25,2,4,0.5,0,0,,0,0,,4,2,6,0,1,0,1,1,4,1
Trey Murphy III,18:09,2,7,0.286,2,5,0.4,0,0,,0,0,0,2,0,0,0,1,6,-4
Kira Lewis Jr.,16:44,2,6,0.333,1,2,0.5,0,0,,1,3,4,5,1,0,1,1,5,1
Garrett Temple,15:06,0,1,0,0,1,0,0,0,,0,1,1,1,0,0,0,1,0,-17
TomÃ¡Å¡ SatoranskÃ½,8:40,0,1,0,0,1,0,0,0,,0,2,2,2,1,0,1,1,0,-9
Herbert Jones,3:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,6
Didi Louzada,Did Not Play,,,,,,,,,,,,,,,,,,,
Willy HernangÃ³mez,Did Not Play,,,,,,,,,,,,,,,,,,,
Jose Alvarado,Did Not Play,,,,,,,,,,,,,,,,,,,
