,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Franz Wagner,32:16,0.667,0.667,0.222,0,6.9,6.8,6.8,11.4,1.5,4.4,0,11.9,149,127,3.4
Jalen Suggs,30:17,0.326,0.25,0.429,0.214,0,3.6,1.8,5.2,1.6,0,16.4,25.9,65,131,-16.9
Cole Anthony,30:02,0.363,0.292,0.583,0.333,3.7,14.5,9.2,21.2,0,0,17.9,23.9,80,132,-12.1
Mo Bamba,27:15,0.922,0.938,0.5,0.5,12.3,4,8.1,28.8,1.8,10.4,23.5,20,146,123,14.8
Wendell Carter Jr.,18:45,0.597,0.55,0.1,0.2,6,40.7,23.5,11.5,2.7,0,0,24.8,135,118,8.6
Terrence Ross,27:21,0.638,0.55,0.1,0.4,0,12,6.1,0,0,0,7.8,20,126,133,-3.1
R.J. Hampton,26:29,0.338,0.313,0.25,0.25,0,28.8,14.6,17.3,1.9,0,18.4,17.6,73,124,-7.9
Ignas Brazdeikis,19:19,0.167,0.167,0.5,0,5.8,11.3,8.6,7.6,2.6,0,14.3,15.5,49,127,-12.3
Moritz Wagner,15:07,0.518,0.5,0.6,0.8,14.8,28.9,21.9,11.1,0,0,12.9,22,109,127,-3.6
Robin Lopez,13:09,0.5,0.5,0,0,25.5,0,12.6,0,0,0,33.3,19.5,84,136,-15.1
Gary Harris,Did Not Play,,,,,,,,,,,,,,,
E'Twaun Moore,Did Not Play,,,,,,,,,,,,,,,
