,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,32:16,6,9,0.667,0,2,0,0,0,,2,2,4,2,1,2,0,2,12,-4
Jalen Suggs,30:17,3,14,0.214,1,6,0.167,3,3,1,0,1,1,1,1,0,3,3,10,-13
Cole Anthony,30:02,3,12,0.25,1,7,0.143,3,4,0.75,1,4,5,4,0,0,3,3,10,-3
Mo Bamba,27:15,6,8,0.75,3,4,0.75,3,4,0.75,3,1,4,4,1,4,3,5,18,1
Wendell Carter Jr.,18:45,5,10,0.5,1,1,1,2,2,1,1,7,8,1,1,0,0,1,13,3
Terrence Ross,27:21,5,10,0.5,1,1,1,4,4,1,0,3,3,0,0,0,1,1,15,-32
R.J. Hampton,26:29,2,8,0.25,1,2,0.5,1,2,0.5,0,7,7,3,1,0,2,1,6,-22
Ignas Brazdeikis,19:19,1,6,0.167,0,3,0,0,0,,1,2,3,1,1,0,1,0,2,-30
Moritz Wagner,15:07,2,5,0.4,1,3,0.333,2,4,0.5,2,4,6,1,0,0,1,2,7,-11
Robin Lopez,13:09,2,4,0.5,0,0,,0,0,,3,0,3,0,0,0,2,2,4,-19
Gary Harris,Did Not Play,,,,,,,,,,,,,,,,,,,
E'Twaun Moore,Did Not Play,,,,,,,,,,,,,,,,,,,
