,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyrese Maxey,33:40,0.672,0.643,0.214,0.143,0,19.6,11,21.9,0,0,6.3,21.4,134,103,2
Tobias Harris,27:44,0.549,0.5,0.125,0.313,8.7,33.9,22.8,11.5,1.8,0,0,29.8,121,95,2.6
Seth Curry,27:31,1,1,0.6,0,0,6.8,3.8,9.4,0,0,28.6,11.5,132,107,-0.8
Joel Embiid,25:42,0.56,0.529,0.176,0.353,4.7,18.3,12.3,32.1,1.9,3,4.8,36.4,119,97,8.5
Danny Green,18:35,0,0,1,0,0,0,0,0,0,0,0,2.4,0,109,-12.1
Matisse Thybulle,27:21,0.333,0.333,0.333,0,0,3.4,1.9,0,7.1,2.8,25,6.6,48,90,0.5
Furkan Korkmaz,20:08,0.862,0.818,0.364,0.364,0,0,0,43.6,2.4,0,7.3,31,164,104,23.1
Andre Drummond,19:03,0.564,0.5,0,0.75,12.6,74.1,47.1,19.4,5.1,8,42.9,22.2,89,68,5.9
Georges Niang,18:12,1.1,1.1,0.8,0,0,0,0,7.9,0,4.2,0,12.5,207,106,12.4
Isaiah Joe,12:37,0,0,0.667,0,0,0,0,0,0,0,40,18,0,109,-25.5
Paul Reed,3:15,0.333,0.333,0,0,0,0,0,50.5,0,0,0,41.9,86,109,-9
Charles Bassey,2:04,0.5,0.5,0.5,0,58.1,45.5,51,0,0,0,0,43.9,120,96,-1
Aaron Henry,2:04,0,0,1,0,0,0,0,0,0,0,0,22,0,109,-29.1
Jaden Springer,2:04,,,,,0,0,0,0,0,0,,0,0,109,-7.5
