,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,33:40,8,14,0.571,2,3,0.667,2,2,1,0,7,7,5,0,0,1,2,20,23
Tobias Harris,27:44,8,16,0.5,0,2,0,4,5,0.8,2,10,12,2,1,0,0,0,20,8
Seth Curry,27:31,4,5,0.8,2,3,0.667,0,0,,0,2,2,2,0,0,2,0,10,8
Joel Embiid,25:42,8,17,0.471,2,3,0.667,4,6,0.667,1,5,6,5,1,1,1,3,22,4
Danny Green,18:35,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,3,0,11
Matisse Thybulle,27:21,1,3,0.333,0,1,0,0,0,,0,1,1,0,4,1,1,0,2,15
Furkan Korkmaz,20:08,7,11,0.636,4,4,1,4,4,1,0,0,0,5,1,0,1,0,22,22
Andre Drummond,19:03,2,4,0.5,0,0,,2,3,0.667,2,15,17,3,2,2,4,2,6,22
Georges Niang,18:12,4,5,0.8,3,4,0.75,0,0,,0,0,0,1,0,1,0,1,11,18
Isaiah Joe,12:37,0,3,0,0,2,0,0,0,,0,0,0,0,0,0,2,0,0,-7
Paul Reed,3:15,1,3,0.333,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-6
Charles Bassey,2:04,1,2,0.5,0,1,0,0,0,,1,1,2,0,0,0,0,0,2,-6
Aaron Henry,2:04,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,-6
Jaden Springer,2:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
