,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Damian Lillard,40:15,0.382,0.333,0.375,0.208,0,15.2,7.8,37,1.1,0,3.7,28.3,99,120,-6.2
CJ McCollum,35:12,0.708,0.708,0.458,0,6.1,11.6,8.9,26.3,3.9,2.7,17.2,34.5,118,112,10.9
Norman Powell,35:10,0.559,0.389,0.333,0.889,0,14.5,7.4,0,0,0,7.4,16.1,110,123,-8.7
Robert Covington,30:55,0.444,0.444,0.778,0,0,13.2,6.8,0,0,6.1,10,13.5,79,118,-6.8
Jusuf NurkiÄ‡,28:45,0.765,0.65,0.1,0.7,11.1,39.1,25.4,9.5,0,3.3,7.1,20.5,155,116,6
Cody Zeller,19:08,0.644,0.667,0,0.667,11.1,21.4,16.4,6.3,2.4,4.9,0,8.5,153,112,1.9
Anfernee Simons,17:39,0.917,0.917,0.333,0,0,11.6,5.9,34.6,0,0,14.3,16.6,160,123,7.5
Larry Nance Jr.,17:09,0.333,0.333,0.333,0,0,17.9,9.1,13.3,0,0,25,9.8,73,122,-11.4
Nassir Little,15:47,0.7,0.7,0.2,0,13.5,6.5,9.9,0,0,0,16.7,15.9,122,124,-4
Ben McLemore,Did Not Play,,,,,,,,,,,,,,,
Dennis Smith Jr.,Did Not Play,,,,,,,,,,,,,,,
Greg Brown III,Did Not Play,,,,,,,,,,,,,,,
CJ Elleby,Did Not Play,,,,,,,,,,,,,,,
