,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,40:15,8,24,0.333,0,9,0,4,5,0.8,0,6,6,11,1,0,1,3,20,-2
CJ McCollum,35:12,14,24,0.583,6,11,0.545,0,0,,2,4,6,5,3,1,5,4,34,0
Norman Powell,35:10,3,9,0.333,1,3,0.333,7,8,0.875,0,5,5,0,0,0,1,3,14,3
Robert Covington,30:55,3,9,0.333,2,7,0.286,0,0,,0,4,4,0,0,2,1,2,8,-9
Jusuf NurkiÄ‡,28:45,6,10,0.6,1,1,1,7,7,1,3,11,14,2,0,1,1,4,20,-2
Cody Zeller,19:08,2,3,0.667,0,0,,1,2,0.5,2,4,6,1,1,1,0,1,5,1
Anfernee Simons,17:39,5,6,0.833,1,2,0.5,0,0,,0,2,2,4,0,0,1,0,11,-9
Larry Nance Jr.,17:09,1,3,0.333,0,1,0,0,0,,0,3,3,2,0,0,1,4,2,4
Nassir Little,15:47,3,5,0.6,1,1,1,0,0,,2,1,3,0,0,0,1,1,7,-1
Ben McLemore,Did Not Play,,,,,,,,,,,,,,,,,,,
Dennis Smith Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
Greg Brown III,Did Not Play,,,,,,,,,,,,,,,,,,,
CJ Elleby,Did Not Play,,,,,,,,,,,,,,,,,,,
