,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Chris Paul,33:37,0.631,0.636,0.364,0.182,5.6,7.1,6.3,52,2.9,3.2,20.2,18.9,124,109,8.3
Mikal Bridges,33:31,0.474,0.5,0.375,0.125,2.8,14.3,7.9,0,1.5,3.3,5.6,22.8,89,112,-2.2
Deandre Ayton,32:36,0.689,0.65,0.3,0.2,5.8,14.7,9.7,10.8,1.5,0,15.5,16.9,122,114,2.2
Devin Booker,29:57,0.358,0.267,0.467,0.267,3.1,12,7,20.6,1.6,0,15.2,28.2,77,114,-7.6
Jae Crowder,24:06,0.17,0,1,0.4,0,39.8,17.5,11.1,2,0,14.5,12.2,50,109,-6.8
Cameron Johnson,23:54,0.55,0.55,0.5,0,3.9,5,4.4,7.2,2,0,9.1,19.6,103,114,1.6
Landry Shamet,19:25,1.1,1.1,0.6,0,4.8,12.4,8.1,0,0,0,0,11,203,118,11.7
JaVale McGee,15:08,0.75,0.75,0,0,6.2,55.5,27.9,0,0,7.2,42.9,19.7,75,106,-5.5
Cameron Payne,14:23,0.446,0.389,0.333,0.556,6.5,8.3,7.3,38.5,3.4,0,21.1,42.1,84,110,-3.2
Abdel Nader,13:23,0,0,0.5,0,7,17.9,11.8,10,3.6,0,33.3,9.6,38,108,-8
Jalen Smith,Did Not Play,,,,,,,,,,,,,,,
Elfrid Payton,Did Not Play,,,,,,,,,,,,,,,
Chandler Hutchison,Did Not Play,,,,,,,,,,,,,,,
Frank Kaminsky,Did Not Play,,,,,,,,,,,,,,,
