,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chris Paul,33:37,6,11,0.545,2,4,0.5,1,2,0.5,2,2,4,10,2,1,3,3,15,-23
Mikal Bridges,33:31,7,16,0.438,2,6,0.333,0,2,0,1,4,5,0,1,1,1,2,16,-21
Deandre Ayton,32:36,6,10,0.6,1,3,0.333,2,2,1,2,4,6,2,1,0,2,2,15,-15
Devin Booker,29:57,3,15,0.2,2,7,0.286,4,4,1,1,3,4,4,1,0,3,3,12,-24
Jae Crowder,24:06,0,5,0,0,5,0,2,2,1,0,8,8,2,1,0,1,1,2,-7
Cameron Johnson,23:54,4,10,0.4,3,5,0.6,0,0,,1,1,2,1,1,0,1,1,11,-5
Landry Shamet,19:25,4,5,0.8,3,3,1,0,0,,1,2,3,0,0,0,0,0,11,12
JaVale McGee,15:08,3,4,0.75,0,0,,0,0,,1,7,8,0,0,1,3,2,6,3
Cameron Payne,14:23,3,9,0.333,1,3,0.333,3,5,0.6,1,1,2,3,1,0,3,2,10,11
Abdel Nader,13:23,0,2,0,0,1,0,0,0,,1,2,3,1,1,0,1,2,0,9
Jalen Smith,Did Not Play,,,,,,,,,,,,,,,,,,,
Elfrid Payton,Did Not Play,,,,,,,,,,,,,,,,,,,
Chandler Hutchison,Did Not Play,,,,,,,,,,,,,,,,,,,
Frank Kaminsky,Did Not Play,,,,,,,,,,,,,,,,,,,
