,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Harrison Barnes,36:54,0.784,0.737,0.579,0.474,5.5,20.2,12.7,9,2.5,0,0,26,158,113,17.2
De'Aaron Fox,36:07,0.511,0.455,0.364,0.455,0,14.8,7.2,35.4,0,2.3,15.9,36.4,98,118,-5.3
Richaun Holmes,29:08,0.928,0.95,0.1,0.3,14,25.6,19.7,12.1,1.6,5.7,8.1,17.7,175,110,13
Tyrese Haliburton,28:36,0.2,0.2,0.2,0,0,7.5,3.6,16.6,1.6,0,16.7,8.8,70,118,-11.2
Maurice Harkless,22:01,0.478,0.333,0.5,0.5,0,9.7,4.7,0,2.1,3.8,12,15.8,87,113,-6.4
Buddy Hield,30:52,0.79,0.778,0.778,0.444,0,20.7,10.1,9.1,0,0,0,14.6,157,119,4.5
Davion Mitchell,24:26,0.167,0.167,0.333,0,0,13.1,6.4,14.7,0,0,0,10.3,64,120,-13.2
Tristan Thompson,18:49,0.6,0.6,0,0,5.4,22.7,13.9,0,0,0,16.7,13.3,102,118,-8.3
Terence Davis,13:07,0.3,0.3,0.8,0,0,0,0,31.7,3.5,0,9.1,35.1,71,115,-11.7
Chimezie Metu,Did Not Play,,,,,,,,,,,,,,,
Damian Jones,Did Not Play,,,,,,,,,,,,,,,
Alex Len,Did Not Play,,,,,,,,,,,,,,,
Robert Woodard II,Did Not Play,,,,,,,,,,,,,,,
Marvin Bagley III,Did Not Play,,,,,,,,,,,,,,,
