,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Harrison Barnes,36:54,10,19,0.526,8,11,0.727,8,9,0.889,2,7,9,2,2,0,0,0,36,6
De'Aaron Fox,36:07,9,22,0.409,2,8,0.25,7,10,0.7,0,5,5,8,0,1,5,5,27,6
Richaun Holmes,29:08,9,10,0.9,1,1,1,2,3,0.667,4,7,11,2,1,2,1,2,21,20
Tyrese Haliburton,28:36,1,5,0.2,0,1,0,0,0,,0,2,2,4,1,0,1,2,2,8
Maurice Harkless,22:01,2,6,0.333,0,3,0,3,3,1,0,2,2,0,1,1,1,2,7,4
Buddy Hield,30:52,5,9,0.556,4,7,0.571,3,4,0.75,0,6,6,2,0,0,0,2,17,5
Davion Mitchell,24:26,1,6,0.167,0,2,0,0,0,,0,3,3,3,0,0,0,3,2,-10
Tristan Thompson,18:49,3,5,0.6,0,0,,0,0,,1,4,5,0,0,0,1,3,6,-17
Terence Davis,13:07,2,10,0.2,2,8,0.25,0,0,,0,0,0,3,1,0,1,3,6,-7
Chimezie Metu,Did Not Play,,,,,,,,,,,,,,,,,,,
Damian Jones,Did Not Play,,,,,,,,,,,,,,,,,,,
Alex Len,Did Not Play,,,,,,,,,,,,,,,,,,,
Robert Woodard II,Did Not Play,,,,,,,,,,,,,,,,,,,
Marvin Bagley III,Did Not Play,,,,,,,,,,,,,,,,,,,
