,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dejounte Murray,30:53,0.409,0.353,0.235,0.176,0,21.7,10.7,31.3,6.5,0,14.1,29.1,95,89,-0.4
Derrick White,29:58,0.649,0.682,0.364,0.273,0,14.9,7.4,16.3,1.7,0,0,17.3,141,102,4.9
Jakob Poeltl,29:49,0.75,0.75,0,0,29.3,18.7,24.1,28.6,0,0,11.1,12.7,168,104,9.7
Keldon Johnson,27:39,0.512,0.5,0.083,0.5,7.9,8.1,8,4.5,0,0,12,25.4,100,109,-8.8
Doug McDermott,22:27,0.761,0.714,0.429,0.286,0,0,0,0,0,0,0,14.8,156,112,-0.4
Lonnie Walker IV,25:25,0.475,0.441,0.529,0.118,0,26.4,13,15,2,3.3,0,29.6,112,95,0.5
Devin Vassell,25:07,0.792,0.792,0.333,0,0,8.9,4.4,28.3,4,0,0,20.1,167,99,18.1
Drew Eubanks,13:47,0.5,0.5,0,0,15.8,32.4,24,15.3,0,6.1,33.3,9.2,116,96,-0.6
Keita Bates-Diop,11:20,1.167,1.167,0.333,0,0,9.8,4.9,0,0,0,25,14.9,136,108,2.2
Tre Jones,8:00,0.667,0.667,0,0,0,0,0,16.2,0,0,0,15.8,145,112,0.4
Bryn Forbes,6:17,0,0,0.75,0,0,0,0,0,0,0,0,26.8,0,112,-35.4
Joshua Primo,4:54,1.5,1.5,1,0,0,0,0,0,0,0,0,8.6,300,112,13.7
Jock Landale,4:24,0.266,0,0,2,24.8,0,12.5,22.3,0,19.1,0,18,111,101,6.5
