,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dejounte Murray,30:53,6,17,0.353,0,4,0,3,3,1,0,6,6,8,4,0,3,3,15,13
Derrick White,29:58,6,11,0.545,3,4,0.75,1,3,0.333,0,4,4,4,1,0,0,2,16,9
Jakob Poeltl,29:49,6,8,0.75,0,0,,0,0,,8,5,13,7,0,0,1,3,12,11
Keldon Johnson,27:39,6,12,0.5,0,1,0,3,6,0.5,2,2,4,1,0,0,2,2,15,4
Doug McDermott,22:27,4,7,0.571,2,3,0.667,2,2,1,0,0,0,0,0,0,0,2,12,7
Lonnie Walker IV,25:25,6,17,0.353,3,9,0.333,2,2,1,0,6,6,3,1,1,0,4,17,26
Devin Vassell,25:07,8,12,0.667,3,4,0.75,0,0,,0,2,2,5,2,0,0,2,19,24
Drew Eubanks,13:47,1,2,0.5,0,0,,0,0,,2,4,6,2,0,1,1,2,2,15
Keita Bates-Diop,11:20,3,3,1,1,1,1,0,0,,0,1,1,0,0,0,1,2,7,19
Tre Jones,8:00,2,3,0.667,0,0,,0,0,,0,0,0,1,0,0,0,0,4,0
Bryn Forbes,6:17,0,4,0,0,3,0,0,0,,0,0,0,0,0,0,0,0,0,1
Joshua Primo,4:54,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,3,1
Jock Landale,4:24,0,1,0,0,0,,1,2,0.5,1,0,1,1,0,1,0,0,1,0
