,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Fred VanVleet,34:43,0.294,0.275,0.45,0.05,2.2,6.6,4,24,2.7,2.6,12.8,25.8,66,94,-2.7
OG Anunoby,33:59,0.293,0.235,0.529,0.235,9,20.2,13.5,5.5,2.7,2.6,13.8,24.5,66,91,-2.3
Scottie Barnes,32:32,0.419,0.385,0.077,0.231,7,21.1,12.6,6.5,1.4,0,29.5,23.9,67,96,-9
Goran DragiÄ‡,21:39,0.571,0.5,0.286,0.286,0,15.8,6.3,38,0,0,0,13.9,139,100,6
Precious Achiuwa,18:30,0.338,0.375,0,0.25,12.4,24.7,17.3,23.4,2.5,0,10.1,20.4,80,93,-1.4
Gary Trent Jr.,26:27,0.304,0.278,0.333,0.222,2.9,4.3,3.5,6.9,5.2,0,16.8,17.2,62,91,-2.7
Khem Birch,26:00,0.678,0.5,0,1.5,17.6,13.2,15.8,0,0,0,23.1,12.7,121,100,-0.6
Chris Boucher,17:29,0.35,0.35,0.6,0,4.4,19.6,10.5,0,0,10.2,9.1,24,73,92,-2.4
Svi Mykhailiuk,16:13,0.34,0.2,0.6,0.4,0,21.1,8.5,0,0,0,14.5,16.2,68,99,-12.5
Dalano Banton,12:25,0.875,0.875,0.25,0,0,36.8,14.7,21,3.7,0,0,12.3,179,88,16
Justin Champagnie,Did Not Play,,,,,,,,,,,,,,,
Isaac Bonga,Did Not Play,,,,,,,,,,,,,,,
Malachi Flynn,Did Not Play,,,,,,,,,,,,,,,
David Johnson,Did Not Play,,,,,,,,,,,,,,,
Sam Dekker,Did Not Play,,,,,,,,,,,,,,,
