,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,34:43,5,20,0.25,1,9,0.111,1,1,1,1,2,3,4,2,1,3,1,12,-22
OG Anunoby,33:59,3,17,0.176,2,9,0.222,3,4,0.75,4,6,10,1,2,1,3,1,11,-21
Scottie Barnes,32:32,5,13,0.385,0,1,0,2,3,0.667,3,6,9,1,1,0,6,5,12,-11
Goran DragiÄ‡,21:39,3,7,0.429,1,2,0.5,2,2,1,0,3,3,4,0,0,0,1,9,-16
Precious Achiuwa,18:30,3,8,0.375,0,0,,0,2,0,3,4,7,2,1,0,1,4,6,-6
Gary Trent Jr.,26:27,2,9,0.222,1,3,0.333,1,2,0.5,1,1,2,1,3,0,2,1,6,3
Khem Birch,26:00,2,4,0.5,0,0,,5,6,0.833,6,3,9,0,0,0,2,2,9,-8
Chris Boucher,17:29,3,10,0.3,1,6,0.167,0,0,,1,3,4,0,0,2,1,1,7,-1
Svi Mykhailiuk,16:13,1,5,0.2,0,3,0,2,2,1,0,3,3,0,0,0,1,4,4,-1
Dalano Banton,12:25,3,4,0.75,1,1,1,0,0,,0,4,4,1,1,0,0,1,7,8
Justin Champagnie,Did Not Play,,,,,,,,,,,,,,,,,,,
Isaac Bonga,Did Not Play,,,,,,,,,,,,,,,,,,,
Malachi Flynn,Did Not Play,,,,,,,,,,,,,,,,,,,
David Johnson,Did Not Play,,,,,,,,,,,,,,,,,,,
Sam Dekker,Did Not Play,,,,,,,,,,,,,,,,,,,
