,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Rudy Gobert,29:29,0.687,0.667,0,0.667,17.3,46.5,33.2,0,0,2.9,7.9,19.1,142,78,7.5
Donovan Mitchell,28:28,0.459,0.441,0.588,0.059,7.2,3,4.9,22.6,3.6,3,5.4,28.9,108,91,7.4
Bojan BogdanoviÄ‡,28:12,0.647,0.647,0.353,0,7.2,6.1,6.6,14.8,1.8,0,5.6,28.5,130,95,10.5
Royce O'Neale,28:04,0,0,1,0,0,18.3,10,8.6,0,3.1,20,7.9,27,91,-6.5
Mike Conley,25:09,0.417,0.417,0.583,0,0,0,0,23.6,4,0,7.7,23.1,97,92,-1
Jordan Clarkson,26:40,0.705,0.636,0.545,0.364,3.8,0,1.7,6.2,0,0,19,26.4,119,101,1.4
Joe Ingles,26:05,0.875,0.875,0.875,0,0,9.9,5.4,17.9,0,0,0,13.7,183,97,12.3
Hassan Whiteside,18:31,0.615,0.5,0,0.5,11,37,25.2,0,2.7,9.3,17,14.2,119,72,1.8
Eric Paschall,14:13,0.375,0.375,0.75,0,0,18.1,9.8,9.2,0,0,0,12.6,95,93,-3
Jared Butler,8:45,0,0,0.8,0,0,9.8,5.3,13.7,0,0,16.7,30.6,12,96,-31.6
Elijah Hughes,3:14,1.136,,,,0,0,0,0,0,0,0,12.1,250,102,10.7
Malik Fitts,1:35,,,,,0,54.1,29.4,0,0,0,,0,0,76,1.7
Miye Oni,1:35,,,,,0,0,0,0,0,0,,0,0,98,-16.2
Udoka Azubuike,Did Not Play,,,,,,,,,,,,,,,
