,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,29:29,6,9,0.667,0,0,,4,6,0.667,5,16,21,0,0,1,1,1,16,20
Donovan Mitchell,28:28,6,17,0.353,3,10,0.3,1,1,1,2,1,3,4,2,1,1,2,16,20
Bojan BogdanoviÄ‡,28:12,10,17,0.588,2,6,0.333,0,0,,2,2,4,2,1,0,1,1,22,17
Royce O'Neale,28:04,0,4,0,0,4,0,0,0,,0,6,6,2,0,1,1,0,0,14
Mike Conley,25:09,4,12,0.333,2,7,0.286,0,0,,0,0,0,4,2,0,1,4,10,16
Jordan Clarkson,26:40,6,11,0.545,2,6,0.333,4,4,1,1,0,1,1,0,0,3,2,18,4
Joe Ingles,26:05,5,8,0.625,4,7,0.571,0,0,,0,3,3,3,0,0,0,1,14,11
Hassan Whiteside,18:31,2,4,0.5,0,0,,2,2,1,2,8,10,0,1,2,1,5,6,1
Eric Paschall,14:13,1,4,0.25,1,3,0.333,0,0,,0,3,3,1,0,0,0,1,3,4
Jared Butler,8:45,0,5,0,0,4,0,0,0,,0,1,1,1,0,0,1,1,0,1
Elijah Hughes,3:14,0,0,,0,0,,2,2,1,0,0,0,0,0,0,0,0,2,-3
Malik Fitts,1:35,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Miye Oni,1:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0
Udoka Azubuike,Did Not Play,,,,,,,,,,,,,,,,,,,
