,Advanced Box Score Stats,,,,,,,,,,,,,,,
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kyle Kuzma,34:38,0.396,0.385,0.692,0.154,0,33,19.8,13.7,1.3,2.2,26.5,23.1,63,71,-4
Bradley Beal,34:06,0.511,0.395,0.316,0.421,0,6.7,4,21.5,5.4,0,15.1,32.9,94,80,3.8
Kentavious Caldwell-Pope,27:08,0.357,0.357,0.714,0,0,5.6,3.4,5.4,1.7,0,12.5,12.5,67,89,-4.7
Spencer Dinwiddie,26:09,0.533,0.4,0,0.5,4.4,8.7,7,38.4,0,0,19.7,24.6,103,91,-0.8
Daniel Gafford,22:06,0.926,1,0,1,5.2,13.8,10.3,0,4.2,13.8,18.8,10.2,146,72,10.5
Montrezl Harrell,25:54,0.806,0.818,0,0.545,13.2,17.7,15.9,9.6,0,2.9,0,22.3,164,84,14.7
Raul Neto,22:56,0.5,0.5,0.125,0,0,10,6,15.2,8.1,0,27.3,20.3,75,72,2.4
Deni Avdija,20:52,1.031,1.167,0.333,0.667,11,18.3,15.3,7.9,4.4,7.3,20.5,9.9,158,72,15.6
DÄvis BertÄns,13:21,0,0,1,0,0,0,0,20,0,0,0,9.5,34,96,-11
Aaron Holiday,12:49,0,0,0.5,0,0,17.8,10.7,0,0,0,42.9,23.1,0,85,-28.8
Isaiah Todd,Did Not Play,,,,,,,,,,,,,,,
Corey Kispert,Did Not Play,,,,,,,,,,,,,,,
Anthony Gill,Did Not Play,,,,,,,,,,,,,,,
