,Basic Box Score Stats,,,,,,,,,,,,,,,,,,,
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,34:38,4,13,0.308,2,9,0.222,1,2,0.5,0,15,15,3,1,1,5,2,11,22
Bradley Beal,34:06,7,19,0.368,1,6,0.167,8,8,1,0,3,3,4,4,0,4,2,23,24
Kentavious Caldwell-Pope,27:08,2,7,0.286,1,5,0.2,0,0,,0,2,2,1,1,0,1,0,5,2
Spencer Dinwiddie,26:09,4,10,0.4,0,0,,5,5,1,1,3,4,6,0,0,3,3,13,1
Daniel Gafford,22:06,3,3,1,0,0,,2,3,0.667,1,4,5,0,2,4,1,1,8,11
Montrezl Harrell,25:54,9,11,0.818,0,0,,4,6,0.667,3,6,9,1,0,1,0,2,22,4
Raul Neto,22:56,4,8,0.5,0,1,0,0,0,,0,3,3,2,4,0,3,1,8,14
Deni Avdija,20:52,3,3,1,1,1,1,1,2,0.5,2,5,7,1,2,2,1,1,8,13
DÄvis BertÄns,13:21,0,3,0,0,3,0,0,0,,0,0,0,2,0,0,0,3,0,-7
Aaron Holiday,12:49,0,4,0,0,2,0,0,0,,0,3,3,0,0,0,3,2,0,-9
Isaiah Todd,Did Not Play,,,,,,,,,,,,,,,,,,,
Corey Kispert,Did Not Play,,,,,,,,,,,,,,,,,,,
Anthony Gill,Did Not Play,,,,,,,,,,,,,,,,,,,
